Titulo,Documentary,Sci-Fi,Mystery,Horror,Romance,Thriller,Crime,Fantasy,Comedy,Animation,Children,Drama,Adventure,Duracao,Investimento,Gostou
"Amityville Horror, The (1979)",0,0,1,1,0,0,0,0,0,0,0,1,0,115.5341355,4.934439,1
"Birds, The (1963)",0,0,0,1,0,0,0,0,0,0,0,0,0,104.4854639,28.55934779,1
Dracula (Bram Stoker's Dracula) (1992),0,0,0,1,1,0,0,1,0,0,0,0,0,116.611607,4.466574078,0
"Bride of Frankenstein, The (Bride of Frankenstein) (1935)",0,1,0,1,0,0,0,0,0,0,0,1,0,103.1144192,46.82143645,1
Burnt Offerings (1976),0,0,0,1,0,0,0,0,0,0,0,0,0,113.1393856,6.928659094,1
Candyman (1992),0,0,0,1,0,0,0,0,0,0,0,0,0,108.7605577,8.001008685,0
Carrie (1976),0,0,0,1,0,0,0,1,0,0,0,1,0,96.28714619,20.22730101,1
Cat People (1982),0,0,0,1,0,0,0,1,0,0,0,1,0,109.3050447,3.793103749,0
"Nightmare on Elm Street, A (1984)",0,0,0,1,0,0,0,0,0,0,0,0,0,116.8966029,27.30627659,1
"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",0,0,0,1,0,0,0,0,0,0,0,0,0,98.00755964,4.370078177,1
"Omen, The (1976)",0,0,1,1,0,0,0,0,0,0,0,0,0,137.6429132,12.68245976,1
Shine (1996),0,0,0,0,1,0,0,0,0,0,0,1,0,102.3544815,6.026249429,1
Sling Blade (1996),0,0,0,0,0,0,0,0,0,0,0,1,0,100.7144967,3.9345091,0
Paradise Lost: The Child Murders at Robin Hood Hills (1996),1,0,0,0,0,0,0,0,0,0,0,0,0,83.78625319,12.30340535,1
"Crucible, The (1996)",0,0,0,0,0,0,0,0,0,0,0,1,0,117.4860888,24.14548477,1
Star Trek II: The Wrath of Khan (1982),0,1,0,0,0,0,0,0,0,0,0,0,1,104.5875444,12.11168423,1
Batman Returns (1992),0,0,0,0,0,0,1,0,0,0,0,0,0,99.88970814,3.927002031,0
Grease (1978),0,0,0,0,1,0,0,0,1,0,0,0,0,91.14899706,24.3051677,1
"Substance of Fire, The (1996)",0,0,0,0,0,0,0,0,0,0,0,1,0,124.6613049,5.930367993,1
Jaws (1975),0,0,0,1,0,0,0,0,0,0,0,0,0,131.959683,14.05019625,1
Jaws 3-D (1983),0,0,0,1,0,0,0,0,0,0,0,0,0,111.709308,3.936104527,0
Jerry Maguire (1996),0,0,0,0,1,0,0,0,0,0,0,1,0,92.13661837,22.41151784,0
Raising Arizona (1987),0,0,0,0,0,0,0,0,1,0,0,0,0,109.2998192,22.3932021,1
Beavis and Butt-Head Do America (1996),0,0,0,0,0,0,1,0,1,1,0,0,1,124.9053923,32.67783033,1
Scream (1996),0,0,1,1,0,0,0,0,1,0,0,0,0,97.13644326,11.47469704,1
Hamlet (1996),0,0,0,0,1,0,1,0,0,0,0,1,0,77.3875455,6.32099423,1
Message to Love: The Isle of Wight Festival (1996),1,0,0,0,0,0,0,0,0,0,0,0,0,110.5890599,8.704405536,1
Waiting for Guffman (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,110.1725715,15.84606352,1
Donnie Brasco (1997),0,0,0,0,0,0,1,0,0,0,0,1,0,104.0778116,33.69588991,1
Children of the Revolution (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,131.5953473,18.81424202,1
Austin Powers: International Man of Mystery (1997),0,0,0,0,0,0,0,0,1,0,0,0,1,94.46611609,17.67623369,1
Love! Valour! Compassion! (1997),0,0,0,0,1,0,0,0,0,0,0,1,0,83.34464536,23.20923698,1
"Pillow Book, The (1996)",0,0,0,0,1,0,0,0,0,0,0,1,0,114.2349096,23.54420247,1
Contact (1997),0,1,0,0,0,0,0,0,0,0,0,1,0,74.35121874,6.451983876,0
In the Company of Men (1997),0,0,0,0,0,0,0,0,1,0,0,1,0,145.4442894,3.629057393,0
"Hunt for Red October, The (1990)",0,0,0,0,0,0,0,0,0,0,0,0,1,102.8141482,10.44299583,0
My Own Private Idaho (1991),0,0,0,0,1,0,0,0,0,0,0,1,0,77.47247404,3.8726321,1
L.A. Confidential (1997),0,0,1,0,0,0,1,0,0,0,0,0,0,83.09105404,13.33141483,1
I Know What You Did Last Summer (1997),0,0,1,1,0,0,0,0,0,0,0,0,0,108.9454412,10.00544155,0
"House of Yes, The (1997)",0,0,0,0,0,0,0,0,1,0,0,1,0,105.7057142,19.12329317,1
Stripes (1981),0,0,0,0,0,0,0,0,1,0,0,0,0,130.8357795,7.718269404,1
Boogie Nights (1997),0,0,0,0,0,0,0,0,0,0,0,1,0,110.9925567,42.53270671,1
Alien: Resurrection (1997),0,1,0,1,0,0,0,0,0,0,0,0,0,111.6048169,3.615932902,1
Deconstructing Harry (1997),0,0,0,0,0,0,0,0,1,0,0,1,0,93.61145923,14.25449262,1
Good Will Hunting (1997),0,0,0,0,1,0,0,0,0,0,0,1,0,92.60287888,25.54232739,0
Scream 2 (1997),0,0,1,1,0,0,0,0,1,0,0,0,0,125.1923743,15.64179525,1
"Sweet Hereafter, The (1997)",0,0,0,0,0,0,0,0,0,0,0,1,0,93.0615957,16.66904077,1
Jackie Brown (1997),0,0,0,0,0,0,1,0,0,0,0,1,0,87.25013288,3.614744058,1
"Big Lebowski, The (1998)",0,0,0,0,0,0,1,0,1,0,0,0,0,89.78868672,37.05312525,1
My Life in Pink (Ma vie en rose) (1997),0,0,0,0,0,0,0,0,1,0,0,1,0,100.383999,9.824883322,1
Men with Guns (1997),0,0,0,0,0,0,0,0,0,0,0,1,0,108.7216428,8.96360615,1
Everest (1998),1,0,0,0,0,0,0,0,0,0,0,0,0,134.0686637,17.77503258,1
"Last Days of Disco, The (1998)",0,0,0,0,0,0,0,0,1,0,0,1,0,117.904317,15.32018517,1
"Gingerbread Man, The (1998)",0,0,0,0,0,0,0,0,0,0,0,1,0,88.32542808,8.379157008,1
Kurt & Courtney (1998),1,0,0,0,0,0,0,0,0,0,0,0,0,84.05297516,5.117626319,0
Bulworth (1998),0,0,0,0,1,0,0,0,1,0,0,1,0,84.73791645,18.51042174,1
Fear and Loathing in Las Vegas (1998),0,0,0,0,0,0,0,0,1,0,0,1,1,117.8541906,12.66063591,0
Hope Floats (1998),0,0,0,0,1,0,0,0,1,0,0,1,0,104.900968,27.36582949,0
Can't Hardly Wait (1998),0,0,0,0,1,0,0,0,1,0,0,1,0,123.4551283,16.47965871,0
There's Something About Mary (1998),0,0,0,0,1,0,0,0,1,0,0,0,0,104.1668801,37.55879785,0
Plan 9 from Outer Space (1959),0,1,0,1,0,0,0,0,0,0,0,0,0,145.2981614,6.287571755,1
All Quiet on the Western Front (1930),0,0,0,0,0,0,0,0,0,0,0,1,0,137.4377297,5.793612326,1
Grand Hotel (1932),0,0,0,0,1,0,0,0,0,0,0,1,0,77.92593298,4.835660421,1
Mutiny on the Bounty (1935),0,0,0,0,0,0,0,0,0,0,0,1,1,127.9103262,20.65552261,1
"Best Years of Our Lives, The (1946)",0,0,0,0,0,0,0,0,0,0,0,1,0,84.3170993,23.56003133,1
Hamlet (1948),0,0,0,0,0,0,0,0,0,0,0,1,0,120.7437177,3.778831135,1
From Here to Eternity (1953),0,0,0,0,1,0,0,0,0,0,0,1,0,69.83807509,9.14039865,1
On the Waterfront (1954),0,0,0,0,0,0,1,0,0,0,0,1,0,85.03680885,6.090749419,1
Marty (1955),0,0,0,0,1,0,0,0,0,0,0,1,0,76.79842022,23.47945303,1
West Side Story (1961),0,0,0,0,1,0,0,0,0,0,0,1,0,133.2436083,20.43854131,1
In the Heat of the Night (1967),0,0,1,0,0,0,0,0,0,0,0,1,0,131.4434797,11.68203823,1
Midnight Cowboy (1969),0,0,0,0,0,0,0,0,0,0,0,1,0,134.0080691,45.61290251,1
"French Connection, The (1971)",0,0,0,0,0,0,1,0,0,0,0,0,0,136.4235283,14.39184807,1
Rocky (1976),0,0,0,0,0,0,0,0,0,0,0,1,0,109.2258242,17.30852217,1
Kramer vs. Kramer (1979),0,0,0,0,0,0,0,0,0,0,0,1,0,98.9875672,10.15179139,1
Ordinary People (1980),0,0,0,0,0,0,0,0,0,0,0,1,0,128.3629914,30.79805706,1
Chariots of Fire (1981),0,0,0,0,0,0,0,0,0,0,0,1,0,123.1644704,4.619334169,1
Terms of Endearment (1983),0,0,0,0,0,0,0,0,1,0,0,1,0,91.16783558,3.812860037,1
"Last Emperor, The (1987)",0,0,0,0,0,0,0,0,0,0,0,1,0,129.4515127,14.38336897,1
Rain Man (1988),0,0,0,0,0,0,0,0,0,0,0,1,0,114.0115082,15.74503692,1
Driving Miss Daisy (1989),0,0,0,0,0,0,0,0,0,0,0,1,0,92.29390682,4.517280706,0
Repo Man (1984),0,1,0,0,0,0,0,0,1,0,0,0,0,123.2633059,3.56601838,1
Metropolitan (1990),0,0,0,0,0,0,0,0,1,0,0,0,0,117.2274641,15.82106659,1
"Breakfast Club, The (1985)",0,0,0,0,0,0,0,0,1,0,0,1,0,128.730012,14.50585379,1
"Nightmare on Elm Street 2: Freddy's Revenge, A (1985)",0,0,0,1,0,0,0,0,0,0,0,0,0,110.8284571,36.78556394,1
Friday the 13th (1980),0,0,1,1,0,0,0,0,0,0,0,0,0,148.5328267,20.79244808,1
Halloween (1978),0,0,0,1,0,0,0,0,0,0,0,0,0,131.1658368,39.47949166,1
Prom Night (1980),0,0,0,1,0,0,0,0,0,0,0,0,0,122.8629807,6.08933333,1
Poltergeist (1982),0,0,0,1,0,0,0,0,0,0,0,0,0,100.3962604,8.252992225,1
"Exorcist, The (1973)",0,0,1,1,0,0,0,0,0,0,0,0,0,96.28290834,22.31462897,1
"Exorcist III, The (1990)",0,0,0,1,0,0,0,0,0,0,0,0,0,116.6886985,4.297402268,0
Lethal Weapon (1987),0,0,0,0,0,0,1,0,1,0,0,1,0,125.5332005,46.09668958,0
Lethal Weapon 2 (1989),0,0,0,0,0,0,1,0,1,0,0,1,0,145.3860412,42.75067221,0
Gremlins (1984),0,0,0,1,0,0,0,0,1,0,0,0,0,141.0451268,30.21772388,0
Metropolis (1927),0,1,0,0,0,0,0,0,0,0,0,1,0,94.7323374,22.78482565,1
Freaky Friday (1977),0,0,0,0,0,0,0,1,1,0,1,0,0,118.2355861,11.5593509,1
Bambi (1942),0,0,0,0,0,0,0,0,0,1,1,1,0,108.9930784,9.127370363,1
Seven Samurai (Shichinin no samurai) (1954),0,0,0,0,0,0,0,0,0,0,0,1,1,112.752308,10.59458944,1
Dangerous Liaisons (1988),0,0,0,0,1,0,0,0,0,0,0,1,0,127.1752123,4.674005206,1
Dune (1984),0,1,0,0,0,0,0,0,0,0,0,0,1,123.3514776,44.12764441,1
"Godfather: Part III, The (1990)",0,0,1,0,0,0,1,0,0,0,0,1,0,112.9426599,4.046268047,0
Darby O'Gill and the Little People (1959),0,0,0,0,0,0,0,1,0,0,1,0,1,65.41352826,30.41168308,0
Roger & Me (1989),1,0,0,0,0,0,0,0,0,0,0,0,0,140.7286647,11.83203077,1
"Purple Rose of Cairo, The (1985)",0,0,0,0,1,0,0,1,1,0,0,1,0,104.9647925,35.71034583,1
Doctor Zhivago (1965),0,0,0,0,1,0,0,0,0,0,0,1,0,123.6805446,37.40391925,1
Fanny and Alexander (Fanny och Alexander) (1982),0,0,1,0,0,0,0,1,0,0,0,1,0,119.6499124,22.98207988,1
"Trip to Bountiful, The (1985)",0,0,0,0,0,0,0,0,0,0,0,1,0,129.4759487,11.57460894,1
Tender Mercies (1983),0,0,0,0,1,0,0,0,0,0,0,1,0,136.5619585,3.641450014,1
Mephisto (1981),0,0,0,0,0,0,0,0,0,0,0,1,0,90.83809846,5.455288609,1
Blue Velvet (1986),0,0,1,0,0,0,0,0,0,0,0,1,0,63.2140971,3.529434312,1
"Jungle Book, The (1967)",0,0,0,0,0,0,0,0,1,1,1,0,0,130.0990629,9.85273835,1
Lady and the Tramp (1955),0,0,0,0,1,0,0,0,1,1,1,0,0,77.22006368,4.947963623,1
101 Dalmatians (One Hundred and One Dalmatians) (1961),0,0,0,0,0,0,0,0,0,1,1,0,1,89.72166293,4.076166359,1
Peter Pan (1953),0,0,0,0,0,0,0,1,0,1,1,0,0,126.2883998,13.01366393,1
Popeye (1980),0,0,0,0,0,0,0,0,1,0,0,0,1,126.3712337,14.94114114,1
"Rescuers, The (1977)",0,0,0,0,0,0,1,0,0,1,1,1,1,109.219017,7.966406842,1
Something Wicked This Way Comes (1983),0,0,1,0,0,0,0,1,0,0,1,1,0,126.4621801,48.06859767,1
Song of the South (1946),0,0,0,0,0,0,0,0,0,1,1,0,1,112.1023319,4.105211758,1
Splash (1984),0,0,0,0,1,0,0,1,1,0,0,0,0,88.72178897,3.884020317,1
Tron (1982),0,1,0,0,0,0,0,0,0,0,0,0,1,106.1509555,3.9186277,0
Halloween H20: 20 Years Later (Halloween 7: The Revenge of Laurie Strode) (1998),0,0,0,1,0,0,0,0,0,0,0,0,0,95.0190662,26.1915866,0
"Jerk, The (1979)",0,0,0,0,0,0,0,0,1,0,0,0,0,106.6446143,11.38551621,1
Dead Men Don't Wear Plaid (1982),0,0,0,0,0,0,1,0,1,0,0,0,0,77.52722608,12.22038401,0
Grand Canyon (1991),0,0,0,0,0,0,1,0,0,0,0,1,0,102.1538697,6.254873506,0
"Dead Zone, The (1983)",0,0,0,0,0,0,0,0,0,0,0,0,0,82.91564865,6.470543484,1
Cujo (1983),0,0,0,1,0,0,0,0,0,0,0,0,0,123.4782162,37.39367575,0
"Addams Family, The (1991)",0,0,0,0,0,0,0,1,1,0,1,0,0,127.925046,13.52122329,1
Atlantic City (1980),0,0,0,0,1,0,1,0,0,0,0,1,0,120.5237382,7.981520464,1
Who's Afraid of Virginia Woolf? (1966),0,0,0,0,0,0,0,0,0,0,0,1,0,115.200772,4.93178267,1
Doctor Dolittle (1967),0,0,0,0,0,0,0,0,0,0,1,0,1,135.4953073,4.109315803,1
Charlotte's Web (1973),0,0,0,0,0,0,0,0,0,1,1,0,0,100.1831272,13.07212305,1
Watership Down (1978),0,0,0,0,0,0,0,1,0,1,1,1,1,127.8197276,16.78878462,1
"Dark Crystal, The (1982)",0,0,0,0,0,0,0,1,0,0,0,0,1,85.99820261,31.80064209,0
Sixteen Candles (1984),0,0,0,0,1,0,0,0,1,0,0,0,0,102.4227621,3.730705096,0
Pretty in Pink (1986),0,0,0,0,1,0,0,0,1,0,0,1,0,103.7850281,6.131426641,0
St. Elmo's Fire (1985),0,0,0,0,1,0,0,0,0,0,0,1,0,110.5627244,11.20915097,0
Rosemary's Baby (1968),0,0,0,1,0,0,0,0,0,0,0,1,0,83.25715015,10.29972571,1
Attack of the Killer Tomatoes! (1978),0,0,0,1,0,0,0,0,1,0,0,0,0,85.18168856,9.64988834,1
Beetlejuice (1988),0,0,0,0,0,0,0,1,1,0,0,0,0,97.10479001,13.28712192,1
Strangers on a Train (1951),0,0,0,0,0,0,1,0,0,0,0,1,0,88.0696919,19.24223642,1
Willow (1988),0,0,0,0,0,0,0,1,0,0,0,0,1,133.1520373,4.21107673,0
"Untouchables, The (1987)",0,0,0,0,0,0,1,0,0,0,0,1,0,110.6759689,14.44683771,1
Lifeboat (1944),0,0,0,0,0,0,0,0,0,0,0,1,0,113.1432128,42.76635574,1
Shadow of a Doubt (1943),0,0,0,0,0,0,1,0,0,0,0,1,0,144.5896389,8.368569065,1
"Lady Vanishes, The (1938)",0,0,1,0,0,0,0,0,0,0,0,1,0,123.8389406,6.817128241,1
Murder! (1930),0,0,1,0,0,0,0,0,0,0,0,0,0,113.4435248,46.10571474,1
"Lodger: A Story of the London Fog, The (1927)",0,0,0,0,0,0,1,0,0,0,0,1,0,102.6538074,44.11142702,1
My Bodyguard (1980),0,0,0,0,0,0,0,0,0,0,0,1,0,92.34523,18.64406679,0
Broadcast News (1987),0,0,0,0,1,0,0,0,1,0,0,1,0,81.57417801,40.26126954,0
Say Anything... (1989),0,0,0,0,1,0,0,0,1,0,0,1,0,70.75725982,19.80929384,1
"Few Good Men, A (1992)",0,0,0,0,0,0,1,0,0,0,0,1,0,102.0023465,7.481153089,1
Pecker (1998),0,0,0,0,0,0,0,0,1,0,0,1,0,82.15507169,36.9417304,1
"Player, The (1992)",0,0,0,0,0,0,1,0,1,0,0,1,0,110.24876,5.555040211,1
Stardust Memories (1980),0,0,0,0,0,0,0,0,1,0,0,1,0,136.8875917,33.48573218,1
Edward Scissorhands (1990),0,0,0,0,1,0,0,1,0,0,0,1,0,96.75433019,18.31529723,1
"Producers, The (1968)",0,0,0,0,0,0,0,0,1,0,0,0,0,129.4954038,47.86460078,1
History of the World: Part I (1981),0,0,0,0,0,0,0,0,1,0,0,0,0,118.004161,16.14170597,1
Nashville (1975),0,0,0,0,0,0,0,0,0,0,0,1,0,99.83187721,13.2159958,1
Children of a Lesser God (1986),0,0,0,0,0,0,0,0,0,0,0,1,0,132.0974185,4.846787269,0
"Elephant Man, The (1980)",0,0,0,0,0,0,0,0,0,0,0,1,0,97.59708418,11.59351648,1
Happiness (1998),0,0,0,0,0,0,0,0,1,0,0,1,0,119.3623301,16.69774452,1
Pleasantville (1998),0,0,0,0,0,0,0,1,1,0,0,1,0,108.8452966,5.58604669,0
Gods and Monsters (1998),0,0,0,0,0,0,0,0,0,0,0,1,0,101.5339688,6.620111125,1
Elizabeth (1998),0,0,0,0,0,0,0,0,0,0,0,1,0,109.8835786,5.194369299,1
Runaway Train (1985),0,0,0,0,0,0,0,0,0,0,0,1,1,112.9600987,35.27535634,1
Desert Bloom (1986),0,0,0,0,0,0,0,0,0,0,0,1,0,121.5112009,40.37029031,0
"Nights of Cabiria (Notti di Cabiria, Le) (1957)",0,0,0,0,0,0,0,0,0,0,0,1,0,122.0619543,19.37361492,1
"Big Chill, The (1983)",0,0,0,0,0,0,0,0,1,0,0,1,0,83.48806401,8.954111591,0
Celebrity (1998),0,0,0,0,0,0,0,0,1,0,0,0,0,89.30821438,45.76944644,1
Pink Flamingos (1972),0,0,0,0,0,0,0,0,1,0,0,0,0,109.3055901,45.3057259,1
Glen or Glenda (1953),0,0,0,0,0,0,0,0,0,0,0,1,0,135.1659355,15.20979894,1
King Kong (1933),0,0,0,1,0,0,0,1,0,0,0,0,1,105.5098101,7.35404128,1
King Kong (1976),0,1,0,0,1,0,0,1,0,0,0,0,1,98.45673748,42.92186643,0
"Simple Plan, A (1998)",0,0,0,0,0,0,1,0,0,0,0,1,0,120.3564419,5.339389994,1
Rushmore (1998),0,0,0,0,0,0,0,0,1,0,0,1,0,90.72153964,22.82226393,1
Shakespeare in Love (1998),0,0,0,0,1,0,0,0,1,0,0,1,0,86.06794881,4.227153698,1
Mass Appeal (1984),0,0,0,0,0,0,0,0,0,0,0,1,0,105.5370867,10.01900995,0
Romancing the Stone (1984),0,0,0,0,1,0,0,0,1,0,0,0,1,97.14604298,27.44853047,0
Cocoon (1985),0,1,0,0,0,0,0,0,1,0,0,0,0,106.8005871,5.750487315,0
"Karate Kid, The (1984)",0,0,0,0,0,0,0,0,0,0,0,1,0,80.67301699,7.346027211,0
Christmas Vacation (National Lampoon's Christmas Vacation) (1989),0,0,0,0,0,0,0,0,1,0,0,0,0,117.8431865,27.72396098,0
Affliction (1997),0,0,0,0,0,0,0,0,0,0,0,1,0,93.63319148,40.28422836,1
"Boy Who Could Fly, The (1986)",0,0,0,0,0,0,0,1,0,0,0,1,0,115.9867933,4.148205056,0
"Fly, The (1958)",0,1,1,1,0,0,0,0,0,0,0,0,0,85.34761066,8.521116577,1
"Fly, The (1986)",0,1,0,1,0,0,0,0,0,0,0,1,0,92.35167229,23.29429502,0
"Texas Chainsaw Massacre, The (1974)",0,0,0,1,0,0,0,0,0,0,0,0,0,68.48983844,11.08839235,1
Christine (1983),0,0,0,1,0,0,0,0,0,0,0,0,0,115.2071617,10.60600575,0
Airport (1970),0,0,0,0,0,0,0,0,0,0,0,1,0,103.5309768,18.15377224,1
"Towering Inferno, The (1974)",0,0,0,0,0,0,0,0,0,0,0,1,1,103.5591853,8.223534709,1
Westworld (1973),0,1,0,0,0,0,0,0,0,0,0,0,0,159.2809018,44.26580294,1
Cruel Intentions (1999),0,0,0,0,0,0,0,0,0,0,0,1,0,87.63190593,10.70463585,0
"Rage: Carrie 2, The (1999)",0,0,0,1,0,0,0,0,0,0,0,0,0,95.0924865,13.85365083,0
Election (1999),0,0,0,0,0,0,0,0,1,0,0,0,0,75.33351752,12.82078195,1
Dick Tracy (1990),0,0,0,0,0,0,1,0,0,0,0,0,0,122.9024077,7.521702602,0
Star Wars: Episode I - The Phantom Menace (1999),0,1,0,0,0,0,0,0,0,0,0,0,1,95.97847478,9.36680524,1
Mommie Dearest (1981),0,0,0,0,0,0,0,0,0,0,0,1,0,141.4442661,42.75239167,1
Dracula (1931),0,0,0,1,0,0,0,0,0,0,0,0,0,128.2641905,3.545737483,1
"Rocky Horror Picture Show, The (1975)",0,1,0,1,0,0,0,0,1,0,0,0,0,91.39525789,4.371943969,1
"War of the Worlds, The (1953)",0,1,0,0,0,0,0,0,0,0,0,1,0,93.24605502,27.76452466,1
Invasion of the Body Snatchers (1956),0,1,0,1,0,0,0,0,0,0,0,0,0,116.5065768,7.816255681,1
"Thirteenth Floor, The (1999)",0,1,0,0,0,0,0,0,0,0,0,1,0,108.7500279,33.86456604,0
Austin Powers: The Spy Who Shagged Me (1999),0,0,0,0,0,0,0,0,1,0,0,0,1,114.4756291,5.291660869,1
Run Lola Run (Lola rennt) (1998),0,0,0,0,0,0,1,0,0,0,0,0,0,83.37892814,5.791396236,1
Summer of Sam (1999),0,0,0,0,0,0,0,0,0,0,0,1,0,89.67707525,3.559239092,0
"Blair Witch Project, The (1999)",0,0,0,1,0,0,0,0,0,0,0,1,0,114.2532947,38.6785887,0
Eyes Wide Shut (1999),0,0,1,0,0,0,0,0,0,0,0,1,0,117.2686891,5.712918933,1
Ghostbusters (a.k.a. Ghost Busters) (1984),0,1,0,0,0,0,0,0,1,0,0,0,0,107.2534502,5.898278871,1
Ghostbusters II (1989),0,1,0,0,0,0,0,1,1,0,0,0,0,66.50804032,35.1461542,0
Twin Falls Idaho (1999),0,0,0,0,0,0,0,0,0,0,0,1,0,77.83709216,7.222988229,1
"Killing, The (1956)",0,0,0,0,0,0,1,0,0,0,0,0,0,105.1999591,8.526335398,1
Spartacus (1960),0,0,0,0,1,0,0,0,0,0,0,1,0,115.0905718,21.13948128,1
Lolita (1962),0,0,0,0,1,0,0,0,0,0,0,1,0,102.4626193,24.49225193,1
Barry Lyndon (1975),0,0,0,0,1,0,0,0,0,0,0,1,0,98.73093614,19.57238584,1
"400 Blows, The (Les quatre cents coups) (1959)",0,0,0,0,0,0,1,0,0,0,0,1,0,124.0176293,46.59648372,1
"Mosquito Coast, The (1986)",0,0,0,0,0,0,0,0,0,0,0,1,1,119.4794582,6.517529743,1
"Color Purple, The (1985)",0,0,0,0,0,0,0,0,0,0,0,1,0,117.5360468,9.281546155,1
Little Shop of Horrors (1986),0,0,0,1,0,0,0,0,1,0,0,0,0,68.78030479,3.944117862,1
"Little Shop of Horrors, The (1960)",0,0,0,1,0,0,0,0,1,0,0,0,0,124.8705688,5.638495462,1
"Morning After, The (1986)",0,0,1,0,0,0,0,0,0,0,0,1,0,103.5044831,39.60810586,1
Radio Days (1987),0,0,0,0,0,0,0,0,1,0,0,1,0,123.3853326,10.88631044,1
Frances (1982),0,0,0,0,0,0,0,0,0,0,0,1,0,87.13572661,38.30039035,1
"Sixth Sense, The (1999)",0,0,1,1,0,0,0,0,0,0,0,1,0,136.291695,48.13226181,1
"Thomas Crown Affair, The (1968)",0,0,0,0,1,0,1,0,0,0,0,1,0,133.1558091,21.27542832,1
Heaven Can Wait (1978),0,0,0,0,0,0,0,0,1,0,0,0,0,97.60785179,4.31326641,1
"Masque of the Red Death, The (1964)",0,0,0,1,0,0,0,0,0,0,0,0,0,137.2032347,22.14275316,1
Airplane! (1980),0,0,0,0,0,0,0,0,1,0,0,0,0,87.76837415,14.62361668,1
"American Werewolf in Paris, An (1997)",0,0,0,1,1,0,0,0,1,0,0,0,0,123.188939,6.832888113,1
National Lampoon's Vacation (1983),0,0,0,0,0,0,0,0,1,0,0,0,0,110.8544155,4.087019947,1
Big (1988),0,0,0,0,1,0,0,1,1,0,0,1,0,120.2959336,3.864679824,0
"Christmas Story, A (1983)",0,0,0,0,0,0,0,0,1,0,1,0,0,100.8315212,18.45243098,1
Hamlet (1964),0,0,0,0,0,0,0,0,0,0,0,1,0,108.4035138,21.95428474,1
"Minus Man, The (1999)",0,0,1,0,0,0,0,0,0,0,0,1,0,109.4097778,13.95641301,1
"Soldier's Story, A (1984)",0,0,0,0,0,0,0,0,0,0,0,1,0,120.4831214,4.575407098,1
Yellow Submarine (1968),0,0,0,0,0,0,0,1,1,1,0,0,1,109.6891292,41.22520401,1
American Beauty (1999),0,0,0,0,1,0,0,0,0,0,0,1,0,158.5059658,16.00269262,1
Stop Making Sense (1984),1,0,0,0,0,0,0,0,0,0,0,0,0,114.4843199,25.26630544,0
"Hard Day's Night, A (1964)",0,0,0,0,0,0,0,0,1,0,0,0,1,112.4003575,4.239854402,0
"Buddy Holly Story, The (1978)",0,0,0,0,0,0,0,0,0,0,0,1,0,124.9864094,7.437321399,1
Deliverance (1972),0,0,0,0,0,0,0,0,0,0,0,1,1,113.9909293,21.75218835,1
Excalibur (1981),0,0,0,0,0,0,0,1,0,0,0,0,1,85.03051858,9.504849343,0
Mumford (1999),0,0,0,0,0,0,0,0,1,0,0,1,0,135.6578202,28.15305825,1
Three Kings (1999),0,0,0,0,0,0,0,0,1,0,0,1,1,91.18173431,11.46992763,1
Psycho II (1983),0,0,1,1,0,0,0,0,0,0,0,0,0,118.2292098,13.14475677,0
Risky Business (1983),0,0,0,0,0,0,0,0,1,0,0,0,0,116.3418575,11.10403249,1
Body Heat (1981),0,0,0,0,0,0,1,0,0,0,0,0,0,61.41464382,15.59855736,1
Ferris Bueller's Day Off (1986),0,0,0,0,0,0,0,0,1,0,0,0,0,110.9740574,5.308431802,1
"Year of Living Dangerously, The (1982)",0,0,0,0,1,0,0,0,0,0,0,1,0,114.9989925,8.544058035,1
Children of Paradise (Les enfants du paradis) (1945),0,0,0,0,1,0,0,0,0,0,0,1,0,132.2991006,18.99010686,1
High Plains Drifter (1973),0,0,0,0,0,0,0,0,0,0,0,0,0,94.7141534,10.71038196,1
Hang 'Em High (1968),0,0,0,0,0,0,1,0,0,0,0,1,0,87.84735504,23.86684518,1
"Conformist, The (Conformista, Il) (1970)",0,0,0,0,0,0,0,0,0,0,0,1,0,111.3221774,4.222166322,1
Hairspray (1988),0,0,0,0,0,0,0,0,1,0,0,1,0,119.7494483,31.73738491,1
Reds (1981),0,0,0,0,1,0,0,0,0,0,0,1,0,123.7369053,14.97373877,1
Days of Heaven (1978),0,0,0,0,0,0,0,0,0,0,0,1,0,86.97143641,12.33251191,1
"Dirty Dozen, The (1967)",0,0,0,0,0,0,0,0,0,0,0,1,0,117.6384267,9.531222328,1
Goldfinger (1964),0,0,0,0,0,0,0,0,0,0,0,0,1,91.09548726,4.012419171,1
From Russia with Love (1963),0,0,0,0,0,0,0,0,0,0,0,0,1,93.17576975,4.487160445,1
Dr. No (1962),0,0,0,0,0,0,0,0,0,0,0,0,1,103.4580852,5.633388194,1
"Fistful of Dollars, A (Per un pugno di dollari) (1964)",0,0,0,0,0,0,0,0,0,0,0,0,0,120.3300448,14.34834673,1
"Straight Story, The (1999)",0,0,0,0,0,0,0,0,0,0,0,1,1,84.69164734,3.800529817,1
Time Bandits (1981),0,1,0,0,0,0,0,1,1,0,0,0,1,117.2604098,24.2158403,1
Fitzcarraldo (1982),0,0,0,0,0,0,0,0,0,0,0,1,1,113.170838,14.97762822,1
